Rule	Ugric	Position	Hungarian	Khanty	Mansi	Sumerian							
1	š	Initial	-	"l, t"	t	"š, s, z"							
1	š	Medial	"d’, š, s, z, -"	"s, t, -"	"s, t, t’, -"	"š, s, z"							
1	š	Final	"d’, š, s, z, -"	"s, t, -"	"s, t, t’, -"	"š, s, z"							
1	š	Last Syl				"š, s, z"							
1	š	other				"š, s, z"							
1	s	Initial	-	"l, t"	t	"š, s, z"							
1	s	Medial	"d’, š, s, z, -"	"s, t, -"	"s, t, t’, -"	"š, s, z"							
1	s	Final	"d’, š, s, z, -"	"s, t, -"	"s, t, t’, -"	"š, s, z"							
1	s	Last Syl				"š, s, z"							
1	s	other				"š, s, z"							
2	č	Initial	"č, d’, š, s, ž"	"č, s, ŧ"	"š, s"	"š, s, z"							
2	č	Medial	"č, d’, š, s, ž"	"č, s, ŧ"	"š, s"	"š, s, z"							
2	č	Final	"č, d’, š, s, ž"	"č, s, ŧ"	"š, s"	"š, s, z"							
2	č	Last Syl	"č, d’, š, s, ž"	"č, s, ŧ"	"š, s"	"š, s, z"							
2	č	other	"č, d’, š, s, ž"	"č, s, ŧ"	"š, s"	"š, s, z"							
3	ś	Initial	"š, s, z"	s	s	"š, s, z"							
3	ś	Medial	"š, s, z"	s	s	"š, s, z"							
3	ś	Final	"š, s, z"	s	s	"š, s, z"							
3	ś	Last Syl	"š, s, z"	s	s	"š, s, z"							
3	ś	other	"š, s, z"	s	s	"š, s, z"							
4	d	Initial	"d, l"	"l, t"	l	d							
4	d	Medial	"d, l"	"l, t"	l	d							
4	d	Final	"d, l"	"l, t"	l	d							
4	d	Last Syl	"d, l"	"l, t"	l	d							
4	d	other	"d, l"	"l, t"	l	d							
5	t	Initial	"d, t"	t	t	"d, š, t"							
5	t	Medial	"d, t"	t	t	"d, š, t"							
5	t	Final	"d, t"	t	t	"d, š, t"							
5	t	Last Syl	z	t	t	"d, š, t"							
5	t	other		t	t	"d, š, t"							
5	tt	Initial	"d, t"	t	t	"d, š, t"							
5	tt	Medial	"d, t"	t	t	"d, š, t"							
5	tt	Final	"d, t"	t	t	"d, š, t"							
5	tt	Last Syl	z	t	t	"d, š, t"							
5	tt	other		t	t	"d, š, t"							
6	d’	Initial		"j, t’"	"l', t’"	"d, r"							
6	d’	Medial	"d', j, l’, t’"	"j, t’"	"l', t’"	"d, r"							
6	d’	Final	"d', j, l’, t’"	"j, t’"	"l', t’"	"d, r"							
6	d’	Last Syl	"š, s"	"j, t’"	"l', t’"	"d, r"							
6	d’	other		"j, t’"	"l', t’"	"d, r"							
6	t’	Initial		"j, t’"	"l', t’"	"d, r"							
6	t’	Medial	"d', j, l’, t’"	"j, t’"	"l', t’"	"d, r"							
6	t’	Final	"d', j, l’, t’"	"j, t’"	"l', t’"	"d, r"							
6	t’	Last Syl	"š, s"	"j, t’"	"l', t’"	"d, r"							
6	t’	other		"j, t’"	"l', t’"	"d, r"							
7	mp	Initial	b	mp	mp	b							
7	mp	Medial	b	mp	mp	b							
7	mp	Final	b	mp	mp	b							
7	mp	Last Syl	b	mp	mp	b							
7	mp	other	b	mp	mp	b							
8	p	Initial	"b, f"	P	p	"b, bb, p"							
8	p	Medial	"p, v, -"	"p, w"	p	"b, bb, p"							
8	p	Final	"p, v, -"	"p, w"	p	"b, bb, p"							
8	p	Last Syl			p	"b, bb, p"							
8	p	other			p	"b, bb, p"							
8	pp	Initial	"b, f"	P	p	"b, bb, p"							
8	pp	Medial	"p, v, -"	"p, w"	p	"b, bb, p"							
8	pp	Final	"p, v, -"	"p, w"	p	"b, bb, p"							
8	pp	Last Syl			p	"b, bb, p"							
8	pp	other			p	"b, bb, p"							
9	ḫ	Initial	h	"h, k"	"h, k"	"h, -"							
9	ḫ	Medial	h	"h, k"	"h, k"	"h, -"							
9	ḫ	Final	h	"h, k"	"h, k"	"h, -"							
9	ḫ	Last Syl	h	"h, k"	"h, k"	"h, -"							
9	ḫ	other	h	"h, k"	"h, k"	"h, -"							
10	k	Initial	h	"h, g, k"	"h, k"	"g, h, k, -"							
10	k	Medial	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	k	Final	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	k	Last Syl	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	k	other	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	kk	Initial	h	"h, g, k"	"h, k"	"g, h, k, -"							
10	kk	Medial	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	kk	Final	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	kk	Last Syl	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10	kk	other	"g, k, -"	"h, g, k"	"h, g, k, w"	"g, h, k, -"							
10B	kt	Initial	"t, (d)"	t	t	"gg, kk"							
10B	kt	Medial	"t, (d)"	t	t	"gg, kk"							
10B	kt	Final	"t, (d)"	t	t	"gg, kk"							
10B	kt	Last Syl	"t, (d)"	t	t	"gg, kk"							
10B	kt	other	"t, (d)"	t	t	"gg, kk"							
10B	(kd)	Initial	"t, (d)"	t	t	"gg, kk"							
10B	(kd)	Medial	"t, (d)"	t	t	"gg, kk"							
10B	(kd)	Final	"t, (d)"	t	t	"gg, kk"							
10B	(kd)	Last Syl	"t, (d)"	t	t	"gg, kk"							
10B	(kd)	other	"t, (d)"	t	t	"gg, kk"							
11	l	Initial	l	l	l	"l, r"							
11	l	Medial	l	l	l	"l, r"							
11	l	Final	l	l	l	"l, r"							
11	l	Last Syl	l	l	l	"l, r"							
11	l	other	l	l	l	"l, r"							
11b	l'	Initial	"l', d’, j"	"j, l', ł"	l'	l							
11b	l'	Medial	"l', d’, j"	"j, l', ł"	l'	l							
11b	l'	Final	"l', d’, j"	"j, l', ł"	l'	l							
